idbase,typeemplacement,domanialite,arrondissement,complementadresse,numero,adresse,idemplacement,libellefrancais,genre,espece,varieteoucultivar,circonferenceencm,hauteurenm,stadedeveloppement,remarquable,"geo_point_2d,,"
147179,Arbre,CIMETIERE,PARIS 20E ARRDT,,,CIMETIERE DU PERE LACHAISE / AVENUE DES THUYAS / DIV 86,A08800086003,Marronnier,Aesculus,hippocastanum,,150,15,Adulte,NON,"48.8632712288,2.394356731,"
187503,Arbre,DASCO,PARIS 14E ARRDT,,,PIERRE LAROUSSE (28) ELEM,9931008,Arbre aux quarante ?cus,Ginkgo,biloba,,20,3,Jeune (arbre),NON,"48.8294972209,2.314216793,"
194396,Arbre,PERIPHERIQUE,PARIS 18E ARRDT,,,TALUS N?23-10,92310126,Noisetier de Byzance,Corylus,colurna,,48,5,Jeune (arbre),NON,"48.9013796832,2.362278585,"
251653,Arbre,Alignement,PARIS 16E ARRDT,,,AVENUE MARCEAU,501004,Platane,Platanus,x hispanica,,210,15,Adulte,NON,"48.8668662183,2.299315525,"
2005310,Arbre,Alignement,BOIS DE VINCENNES,,,ALLEE DES BUTTES,202010,Ch?ne,Quercus,rubra,,120,14,Adulte,NON,"48.8275117572,2.431149118,"
221397,Arbre,Alignement,PARIS 16E ARRDT,,,BOULEVARD EXELMANS,502014,Platane,Platanus,x hispanica,,95,14,Adulte,NON,"48.847396026,2.259307266,"
227788,Arbre,Alignement,PARIS 15E ARRDT,N?6,,PLACE BIENVENUE,202001,Cerisier ? fleurs,Prunus,serrulata,''Kanzan'',45,5,Jeune (arbre)Adulte,NON,"48.8423298417,2.320432706,"
147694,Arbre,CIMETIERE,VAL-DE-MARNE,,,CIMETIERE D''IVRY / AVENUE DU NORD / DIV 19,A09800019007,Marronnier,Aesculus,hippocastanum,''Baumannii'',20,5,Jeune (arbre),NON,"48.8118259508,2.366910527,"
255830,Arbre,Alignement,PARIS 14E ARRDT,211,,RUE VERCINGETORIX,1503009,Erable,Acer,platanoides,''Crimson King'',30,5,Jeune (arbre),NON,"48.8303604046,2.308025395,"
189916,Arbre,DASCO,PARIS 20E ARRDT,,,COUR DES NOUES (26) MAT,6670002,Marronnier,Aesculus,hippocastanum,,155,17,Adulte,NON,"48.8645025726,2.400792646,"
191398,Arbre,DFPE,PARIS 18E ARRDT,,,CRECHE COLLECTIVE / 16 RUE DE L ABREUVOIR,203803004,Cognassier,Cydonia,oblonga,,20,2,Jeune (arbre),NON,"48.8887706022,2.338608082,"
249704,Arbre,Alignement,PARIS 15E ARRDT,17,,BOULEVARD VICTOR,503016,Platane,Platanus,x hispanica,,110,12,Adulte,NON,"48.8348789166,2.283071706,"
263618,Arbre,Alignement,PARIS 16E ARRDT,16-7541,,PLACE CHARLES DE GAULLE,301001,Sophora,Sophora,japonica,,69,5,Adulte,NON,"48.8731191894,2.294437929,"
270790,Arbre,Alignement,PARIS 1ER ARRDT,,,BOULEVARD DU PALAIS,202019,Platane,Platanus,x hispanica,,210,15,Adulte,NON,"48.8545815695,2.345005124,"
2013190,Arbre,Jardin,BOIS DE VINCENNES,,,INSEP / AVENUE DU TREMBLAY,150045,Prunus n. sp.,Prunus,n. sp.,,70,8,Jeune (arbre),NON,"48.8321971621,2.449518843,"
125057,Arbre,Jardin,PARIS 4E ARRDT,,,SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE,301001,Pommier ? fleurs,Malus,floribunda,,50,4,Adulte,NON,"48.8520046212,2.35151526,"
213431,Arbre,Alignement,BOIS DE BOULOGNE,lampadaire 9160,,ALLEE DE LONGCHAMP,301027,Orme,Ulmus,,''Nanguen'' LUTECE,33,6,Jeune (arbre),NON,"48.8687006776,2.254030181,"
219255,Arbre,Alignement,PARIS 7E ARRDT,17,,AVENUE DE BRETEUIL,203002,Platane,Platanus,x hispanica,,55,9,Adulte,NON,"48.8514908735,2.312439573,"
106785,Arbre,Jardin,PARIS 7E ARRDT,Canton 12,,JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / ALLEE ADRIENNE LECOUVREUR,A01201022,Tilleul,Tilia,n. sp.,,89,10,Adulte,NON,"48.8543399102,2.302885924,//"
